Company,Rating,No_of_ratings,Review,Size,RAM,Price,MRP
HP,4.2,253,20,36,16,611,724
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.4,5389,535,40,8,611,867
DELL,4.1,332,26,40,8,464,715
ASUS,4.2,487,53,40,8,440,623
RedmiBook,4.1,4541,523,40,8,476,733
HP,4.6,9,1,40,8,427,541
Lenovo,4.3,2841,241,40,8,684,1025
HP,4.2,491,50,40,8,494,618
ASUS,4.1,1022,123,36,4,293,415
HP,4.2,2134,184,36,8,458,578
Lenovo,4.2,31,3,40,16,663,1034
ASUS,4.4,1134,138,44,8,831,1161
HP,4.3,189,29,36,8,647,774
DELL,4.4,62,5,40,8,794,1165
Lenovo,4.2,265,21,40,8,672,939
Lenovo,4.1,724,68,40,8,314,546
HP,4,907,87,36,8,312,444
ASUS,4.3,11170,1101,40,8,427,562
Lenovo,4.253596615,2841,241,36,16,1196,939
ASUS,4.3,287,26,40,8,550,855
HP,4.2,2205,178,40,8,715,858
Infinix,4.2,1200,209,40,8,342,550
Lenovo,4.253596615,2841,241,36,16,1128,939
Lenovo,4.3,42,0,40,8,409,726
acer,4.1,836,87,40,8,421,538
MSI,4.4,2436,324,40,8,611,892
HP,4.2,253,20,36,16,611,724
HP,4.5,84,9,40,8,501,632
HP,4.3,408,41,40,16,599,722
ASUS,4.2,215,24,40,16,684,989
Lenovo,4.3,2841,241,101,8,647,939
ASUS,4.4,17,0,41,16,696,916
Lenovo,4.3,39,4,40,8,617,1059
Lenovo,4.4,500,67,40,8,641,1059
Lenovo,4.3,2841,241,40,8,684,1025
APPLE,4.7,58,4,35,8,1380,1465
APPLE,4.253596615,2841,241,36,32,3786,939
HP,4.3,1321,101,40,8,556,666
Lenovo,4.2,974,75,36,8,415,744
acer,4.3,3247,363,40,16,721,1051
ASUS,4.4,1118,132,40,16,733,1014
ASUS,4.3,182,17,40,8,611,916
Lenovo,4.2,31,3,40,16,663,1034
HP,4.3,280,42,40,8,501,646
ASUS,4.8,43,5,36,16,977,1723
APPLE,4.7,9278,829,34,8,1135,939
Lenovo,4.2,265,21,40,8,672,939
ASUS,4.8,43,5,36,16,977,1723
Lenovo,4.3,2841,241,40,8,684,1025
ASUS,4.4,1118,132,40,16,733,1014
Lenovo,4.3,115,6,40,8,482,726
HP,4,59,8,40,8,427,503
HP,4.2,18,5,36,16,696,844
Lenovo,4.3,4951,464,40,8,494,726
HP,4.2,253,20,36,16,611,724
Lenovo,4.3,499,46,40,8,445,732
ASUS,4.5,126,15,40,16,953,1503
MSI,4.8,8,1,40,16,1649,1886
Lenovo,4.3,2841,241,101,8,647,939
APPLE,4.253596615,2841,241,35,16,1588,1698
ASUS,4.5,205,27,40,16,1099,1319
APPLE,4.253596615,2841,241,35,8,1588,1698
Lenovo,4.2,974,75,36,8,415,744
APPLE,5,4,0,35,8,1588,1698
DELL,4,85,6,40,8,721,881
HP,4.1,49,5,40,8,708,948
Lenovo,3,4,0,40,8,654,990
acer,4.3,3247,363,40,8,672,1026
ASUS,4.2,253,24,40,8,562,855
DELL,3.7,19,3,40,8,910,1340
Lenovo,4.2,31,3,40,16,663,1034
ASUS,4.253596615,2841,241,41,32,3421,4032
MSI,4.4,983,109,40,16,1142,1515
DELL,4.2,85,10,40,8,708,930
HP,4.2,253,20,36,16,611,724
MSI,4.253596615,2841,241,36,8,464,647
Lenovo,4.2,295,21,40,8,623,965
DELL,4.6,8,0,40,8,718,996
Lenovo,4.3,2841,241,101,8,647,939
acer,4.4,431,38,40,8,397,538
ASUS,4.5,854,130,40,16,806,1087
ASUS,4.3,429,53,36,8,476,721
Lenovo,4.3,2841,241,40,8,684,1025
HP,4.253596615,2841,241,36,8,702,802
APPLE,4.253596615,2841,241,35,16,1588,1698
Lenovo,4.2,700,77,40,8,538,734
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.253596615,2841,241,41,32,4459,5278
Lenovo,4.3,1674,189,40,8,541,837
HP,4.2,81,10,40,16,739,898
Lenovo,4.2,31,3,40,16,663,1034
APPLE,4.253596615,2841,241,41,32,4275,939
acer,4,749,73,36,4,280,427
ASUS,4.6,264,56,40,16,1894,2541
Lenovo,4.2,265,21,40,8,672,939
Lenovo,4.2,31,3,40,16,663,1034
Lenovo,4.3,2841,241,40,8,684,1025
MSI,4.253596615,2841,241,44,16,2150,2785
HP,4.2,253,20,36,16,611,724
DELL,4,2049,202,36,8,470,666
ASUS,4.2,80,6,40,8,617,794
MSI,4.5,32,6,40,16,916,1368
Lenovo,4.3,2841,241,101,8,647,939
ASUS,4.253596615,2841,241,46,32,3421,4105
MSI,4.253596615,2841,241,36,8,586,708
APPLE,4.4,25,1,34,8,1588,939
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.253596615,2841,241,37,32,1955,3115
Infinix,4.2,36,8,40,16,611,977
APPLE,4.7,9278,829,34,8,1222,1355
Lenovo,4.3,252,29,40,8,745,1145
ASUS,4.4,27,3,36,16,818,1014
Lenovo,4.253596615,2841,241,40,8,440,695
ASUS,4.4,1485,254,40,8,513,721
Lenovo,4.2,265,21,40,8,672,939
DELL,4.253596615,2841,241,36,8,656,858
APPLE,4.8,125,14,41,16,3175,939
ASUS,4.8,8,2,36,16,1124,1380
Lenovo,4.253596615,2841,241,36,16,1196,939
