,Rating,No_of_ratings,Review,Size,RAM,Price,MRP
0,4.2,253,20,36,16,611,724
1,4.2,974,75,36,8,415,744
2,4.4,5389,535,40,8,611,867
3,4.1,332,26,40,8,464,715
4,4.2,487,53,40,8,440,623
5,4.1,4541,523,40,8,476,733
6,4.6,9,1,40,8,427,541
7,4.3,2841,241,40,8,684,1025
8,4.2,491,50,40,8,494,618
9,4.1,1022,123,36,4,293,415
10,4.2,2134,184,36,8,458,578
11,4.2,31,3,40,16,663,1034
12,4.4,1134,138,44,8,831,1161
13,4.3,189,29,36,8,647,774
14,4.4,62,5,40,8,794,1165
15,4.2,265,21,40,8,672,939
16,4.1,724,68,40,8,314,546
17,4,907,87,36,8,312,444
18,4.3,11170,1101,40,8,427,562
19,4.253596615,2841,241,36,16,1196,939
20,4.3,287,26,40,8,550,855
21,4.2,2205,178,40,8,715,858
22,4.2,1200,209,40,8,342,550
23,4.253596615,2841,241,36,16,1128,939
24,4.3,42,0,40,8,409,726
25,4.1,836,87,40,8,421,538
26,4.4,2436,324,40,8,611,892
27,4.2,253,20,36,16,611,724
28,4.5,84,9,40,8,501,632
29,4.3,408,41,40,16,599,722
30,4.2,215,24,40,16,684,989
31,4.3,2841,241,101,8,647,939
32,4.4,17,0,41,16,696,916
33,4.3,39,4,40,8,617,1059
34,4.4,500,67,40,8,641,1059
35,4.3,2841,241,40,8,684,1025
36,4.7,58,4,35,8,1380,1465
37,4.253596615,2841,241,36,32,3786,939
38,4.3,1321,101,40,8,556,666
39,4.2,974,75,36,8,415,744
40,4.3,3247,363,40,16,721,1051
41,4.4,1118,132,40,16,733,1014
42,4.3,182,17,40,8,611,916
43,4.2,31,3,40,16,663,1034
44,4.3,280,42,40,8,501,646
45,4.8,43,5,36,16,977,1723
46,4.7,9278,829,34,8,1135,939
47,4.2,265,21,40,8,672,939
48,4.8,43,5,36,16,977,1723
49,4.3,2841,241,40,8,684,1025
50,4.4,1118,132,40,16,733,1014
51,4.3,115,6,40,8,482,726
52,4,59,8,40,8,427,503
53,4.2,18,5,36,16,696,844
54,4.3,4951,464,40,8,494,726
55,4.2,253,20,36,16,611,724
56,4.3,499,46,40,8,445,732
57,4.5,126,15,40,16,953,1503
58,4.8,8,1,40,16,1649,1886
59,4.3,2841,241,101,8,647,939
60,4.253596615,2841,241,35,16,1588,1698
61,4.5,205,27,40,16,1099,1319
62,4.253596615,2841,241,35,8,1588,1698
63,4.2,974,75,36,8,415,744
64,5,4,0,35,8,1588,1698
65,4,85,6,40,8,721,881
66,4.1,49,5,40,8,708,948
67,3,4,0,40,8,654,990
68,4.3,3247,363,40,8,672,1026
69,4.2,253,24,40,8,562,855
70,3.7,19,3,40,8,910,1340
71,4.2,31,3,40,16,663,1034
72,4.253596615,2841,241,41,32,3421,4032
73,4.4,983,109,40,16,1142,1515
74,4.2,85,10,40,8,708,930
75,4.2,253,20,36,16,611,724
76,4.253596615,2841,241,36,8,464,647
77,4.2,295,21,40,8,623,965
78,4.6,8,0,40,8,718,996
79,4.3,2841,241,101,8,647,939
80,4.4,431,38,40,8,397,538
81,4.5,854,130,40,16,806,1087
82,4.3,429,53,36,8,476,721
83,4.3,2841,241,40,8,684,1025
84,4.253596615,2841,241,36,8,702,802
85,4.253596615,2841,241,35,16,1588,1698
86,4.2,700,77,40,8,538,734
87,4.2,974,75,36,8,415,744
88,4.253596615,2841,241,41,32,4459,5278
89,4.3,1674,189,40,8,541,837
90,4.2,81,10,40,16,739,898
91,4.2,31,3,40,16,663,1034
92,4.253596615,2841,241,41,32,4275,939
93,4,749,73,36,4,280,427
94,4.6,264,56,40,16,1894,2541
95,4.2,265,21,40,8,672,939
96,4.2,31,3,40,16,663,1034
97,4.3,2841,241,40,8,684,1025
98,4.253596615,2841,241,44,16,2150,2785
99,4.2,253,20,36,16,611,724
100,4,2049,202,36,8,470,666
101,4.2,80,6,40,8,617,794
102,4.5,32,6,40,16,916,1368
103,4.3,2841,241,101,8,647,939
104,4.253596615,2841,241,46,32,3421,4105
105,4.253596615,2841,241,36,8,586,708
106,4.4,25,1,34,8,1588,939
107,4.2,974,75,36,8,415,744
108,4.253596615,2841,241,37,32,1955,3115
109,4.2,36,8,40,16,611,977
110,4.7,9278,829,34,8,1222,1355
111,4.3,252,29,40,8,745,1145
112,4.4,27,3,36,16,818,1014
113,4.253596615,2841,241,40,8,440,695
114,4.4,1485,254,40,8,513,721
115,4.2,265,21,40,8,672,939
116,4.253596615,2841,241,36,8,656,858
117,4.8,125,14,41,16,3175,939
118,4.8,8,2,36,16,1124,1380
119,4.253596615,2841,241,36,16,1196,939
120,4.253596615,2841,241,36,8,562,672
121,4.5,481,73,40,16,1173,1833
122,4.253596615,2841,241,40,8,470,618
123,4.2,253,20,36,16,611,724
124,4.7,3,0,36,16,1038,1252
125,4.253596615,2841,241,41,16,2101,2822
126,4.3,79,3,40,8,489,665
127,4.3,2841,241,40,8,684,1025
128,4.4,293,39,36,8,837,1136
129,5,8,2,40,16,1649,2077
130,4.1,234,31,40,8,497,677
131,4.2,974,75,36,8,415,744
132,4.253596615,2841,241,41,32,4423,5278
133,5,4,0,40,32,3445,4398
134,4.253596615,2841,241,44,32,3653,4212
135,4.2,31,3,40,16,663,1034
136,4.2,1453,131,36,16,745,919
137,4.7,65,17,40,16,1051,1201
138,4.5,4,0,36,16,977,1216
139,4.3,252,29,40,8,745,1145
140,4.253596615,2841,241,41,32,2321,3180
141,4.3,187,23,40,16,1038,1515
142,4.253596615,2841,241,40,16,2993,3421
143,4.2,265,21,40,8,672,939
144,4.5,126,15,40,8,1014,1270
145,4.3,187,23,40,16,1038,1515
146,4.253596615,2841,241,41,32,4789,5718
147,4.3,115,6,40,8,482,726
148,4.253596615,2841,241,40,8,806,1059
149,5,4,0,40,8,693,901
150,4.4,27,3,36,16,818,1014
151,4.2,253,20,36,16,611,724
152,4.253596615,2841,241,41,32,4275,939
153,4.3,4,1,39,16,855,1099
154,4.7,17,1,40,16,1319,1649
155,4.3,2841,241,101,8,647,939
156,4.5,481,73,40,16,1173,1833
157,4.253596615,2841,241,40,16,882,1211
158,4.1,18,2,41,16,770,1076
159,4.3,2841,241,40,8,684,1025
160,4.2,484,42,36,8,513,708
161,4.253596615,2841,241,44,32,3958,5313
162,4.253596615,2841,241,41,16,3297,939
163,4.2,974,75,36,8,415,744
164,4.253596615,2841,241,40,32,3445,4435
165,4.5,11,2,34,16,955,1220
166,4.7,765,86,34,16,1588,1624
167,3,4,0,40,8,654,990
168,4.3,13,5,41,32,4031,939
169,4.3,59,7,40,8,672,939
170,4.4,2436,324,40,8,648,1026
171,4.2,253,20,36,16,611,724
172,4.253596615,2841,241,41,8,770,1100
173,4.253596615,2841,241,41,16,3297,939
174,4.4,11,3,40,16,550,733
175,4.3,2841,241,101,8,647,939
176,4,3,0,41,8,733,1031
177,4.4,171,18,38,8,522,666
178,4.253596615,2841,241,44,32,4093,4569
179,4.3,2841,241,40,8,684,1025
180,4.7,30,5,35,8,1465,939
181,4.3,9,2,40,8,916,1051
182,4,103,14,40,16,880,1023
183,4.2,974,75,36,8,415,744
184,4.253596615,2841,241,43,32,4887,5473
185,4.253596615,2841,241,44,16,2578,3335
186,4.5,4,0,36,16,977,1216
187,4.2,31,3,40,16,663,1034
188,4.1,33,7,40,8,641,843
189,4.2,574,60,36,8,690,806
190,4.253596615,2841,241,41,8,916,1129
191,4.2,265,21,40,8,672,939
192,3.3,3,0,40,8,523,743
193,4.9,7,0,40,16,892,928
194,4.253596615,2841,241,34,16,855,981
195,4.2,253,20,36,16,611,724
196,4.1,139,15,40,8,779,954
197,4.5,1361,186,36,16,916,1136
198,4.8,122,15,35,8,1380,1465
199,4.3,2841,241,40,8,684,1025
200,4.5,5181,566,40,8,745,916
201,4.3,362,57,40,8,379,611
202,4.4,205,21,36,8,550,782
203,4.2,974,75,36,8,415,744
204,4.5,127,7,40,8,806,1038
205,4.5,126,15,40,8,1014,1270
206,4.9,7,0,36,16,880,1036
207,4.2,31,3,40,16,663,1034
208,3.9,9,1,40,16,953,1344
209,4.3,28,2,36,16,696,877
210,4.253596615,2841,241,36,8,635,745
211,4.2,265,21,40,8,672,939
212,4.253596615,2841,241,35,8,1698,939
213,4.5,19,1,40,8,843,1051
214,4.253596615,2841,241,40,16,1686,2382
215,4.253596615,2841,241,36,16,1196,939
216,4.3,760,76,36,8,415,614
217,4.5,5181,566,40,8,733,1002
218,5,6,0,40,16,1796,2162
219,4.2,253,20,36,16,611,724
220,4.3,43,5,40,16,916,1023
221,4.253596615,2841,241,40,16,1832,2003
222,4.1,508,83,36,16,476,794
223,4.3,2841,241,101,8,647,939
224,4.4,580,73,36,8,690,822
225,4.7,3,0,40,8,781,1115
226,4.5,6,0,40,16,1332,1555
227,4.3,2841,241,40,8,684,1025
228,4.1,24,3,36,16,977,1209
229,4.253596615,2841,241,40,16,2175,2932
230,4.8,5,1,40,16,1832,2309
231,4.2,974,75,36,8,415,744
232,4.2,26,2,40,4,232,342
233,4.4,73,9,34,8,916,1161
234,3.6,87,16,40,4,385,451
235,4.2,31,3,40,16,663,1034
236,4,5,1,41,16,1454,1880
237,4.253596615,2841,241,40,16,1295,1467
238,4.5,648,92,40,8,562,770
239,4.3,252,29,40,8,745,1145
240,4,5,1,41,16,1454,1880
241,4.253596615,2841,241,40,16,1295,1467
242,4.253596615,2841,241,40,16,2590,3115
243,4.3,115,6,40,8,482,726
244,4.5,425,50,40,16,989,1384
245,4.3,45,4,40,8,737,1014
246,4.4,46,8,40,16,1330,1918
247,4.2,253,20,36,16,611,724
248,4.253596615,2841,241,34,32,3482,4178
249,4.5,1361,186,36,16,916,1136
250,4.253596615,2841,241,41,16,2082,2468
251,4.3,2841,241,40,8,684,1025
252,4.1,57,14,36,16,1038,1429
253,4.3,3694,319,40,8,617,892
254,4.253596615,2841,241,40,32,3427,4463
255,4.2,974,75,36,8,415,744
256,4.3,574,55,40,8,562,794
257,4.2,67,6,36,8,696,899
258,4.2,123,16,36,16,782,914
259,4.2,31,3,40,16,663,1034
260,4.253596615,2841,241,40,8,781,1115
261,4.1,115,11,40,8,525,609
262,4.4,7358,982,40,8,678,855
263,4.3,252,29,40,8,745,1145
264,4.253596615,2841,241,40,8,708,916
265,4.253596615,2841,241,40,16,953,1075
266,4.2,10,2,34,16,1393,1623
